Georgetown,3303,,,
Kyiv,265,,,
Dushanbe,893,,,
Minsk,419,,,
CebuCity,797,,,
Islamabad,758,,,
NewcastleuponTyne,2293,,,
Florence,1945,,,
Saskatoon,2541,,,
Nashville,651,,,
Ontario,3667,,,
Abha,2841,,,
SanJose,455,,,
SanJosÃ©,507,,,
Columbus,497,,,
Riga,833,,,
Belfast,2041,,,
Stuttgart,286,,,
DaNang,47781,,,
Antigua,47884,,,
Kigali,513,,,
Havana,403,,,
KansasCity,470,,,
KrongSiemReap,4331,,,
PanamaCity,521,,,
NewOrleans,830,,,
Tallinn,1225,,,
Ljubljana,2417,,,
BuenosAires,19,,,
Antalya,2611,,,
BandarSeriBegawan,11287,,,
Phu Quoc,8417,,,
Medellin,317,,,
PuertoWilliams,47193,,,
Mykonos,47878,,,
Hangzhou,45,,,
Sandwip,47886,,,
Gothenburg,1232,,,
saltlakecity,655,,,
Dakar,543,,,
PortofSpain,7345,,,
Bogota,63,,,
Bristol,1053,,,
Marrakesh,796,,,
Tabuk,872,,,
Durban,919,,,
Kinshasa,28,,,
Tunis,1247,,,
Lyon,1417,,,
Lhasa,889,,,
Nuuk,26451,,,
Bratislava,1550,,,
Cancún,868,,,
Leeds,958,,,
Lima,42,,,
Kraków,945,,,
Cardiff,47879,,,
Al Ain,979,,,
Goiânia,544,,,
Hanover,1359,,,
Liverpool,1440,,,
Memphis,741,,,
Busan,218,,,
Baltimore,378,,,
Cologne,706,,,
Bern,4687,,,
Kazan,607,,,
SantaCruzdelaSierra,246,,,
GoldCoast,1234,,,
Damascus,312,,,
Lilongwe,780,,,
SanAntonio,409,,,
Chengdu,26,,,
Mogadishu,307,,,
Podgorica,3733,,,
GrandCayman,47887,,,
MountKilimanjaro,47888,,,
PuntaCana,47889,,,
Valencia,493,,,
Maputo,679,,,
Nuremberg,1410,,,
Rabat,1296,,,
Malaga,795,,,
Luanda,49,,,
Quito,458,,,
Dubrovnik,13206,,,
Jacksonville,595,,,
Salzburg,4130,,,
Rovaniemi,9295,,,
Dayton,1117,,,
Windhoek,1673,,,
Ankara,111,,,
Queenstown,47890,,,
BaltraIsland,47891,,,
Sacramento,425,,,
Toulouse,1463,,,
Bologna,1838,,,
Porto,598,,,
Yiwu,622,,,
Praya,15328,,,
Seiyun,47892,,,
FortLauderdale,3559,,,
SanJuan,448,,,
Sorong,2335,,,
Tromso,14020,,,
Mombasa,630,,,
Gaborone,2846,,,
Cork,3001,,,
Biratnagar,2773,,,
Funafuti,46631,,,
Dresden,1319,,,
Rochester,1067,,,
Nepalgunj,8133,,,
Saint Denis,2215,,,
ManusIsland,47893,,,
Krabi,17342,,,
Abidjan,131,,,
SanSalvador,2206,,,
Omaha,930,,,
Qingdao,96,,,
Kunming,154,,,
Longyearbyen,47178,,,
Hobart,3346,,,
Montevideo,466,,,
Vigo,2350,,,
Teresina,804,,,
Fortaleza,172,,,
Darwin,4537,,,
Nottingham,1023,,,
Catania,2314,,,
Samarkand,1355,,,
ThunderBay,5689,,,
Tahiti,47894,,,
Milwaukee,593,,,
Vladivostok,1257,,,
Aberdeen,3296,,,
Marseille,885,,,
Rotterdam,1127,,,
Palma,1341,,,
Windsor,2262,,,
Columbia,1242,,,
Moncton,5212,,,
Hail,2237,,,
Freetown,806,,,
OklahomaCity,775,,,
Ashgabat,748,,,
Louisville,798,,,
Wuhan,43,,,
Nagoya,47,,,
Torshavn,33513,,,
Bamako,168,,,
Southampton,899,,,
Brasilia,283,,,
DavaoCity,453,,,
Wichita,1452,,,
Caticlan,47895,,,
Victoria,1934,,,
Abuja,195,,,
Cairns,4359,,,
Kingston,1283,,,
Innsbruck,4816,,,
Tabora,3015,,,
Madeira,47896,,,
Surabaya,75,,,
Tenerife,47897,,,
Shannon,43896,,,
Fayetteville,1812,,,
Kelowna,3578,,,
Phaplu,47898,,,
Conakry,478,,,
Hartford,789,,,
Kandy,5189,,,
Dominica,31194,,,
Verona,2630,,,
Bergen,2364,,,
GuatemalaCity,257,,,
Syracuse,1756,,,
Janakpur,6278,,,
Sylhet,1539,,,
AlQassim,47899,,,
Sapporo,424,,,
Aruba,15432,,,
Douala,98,,,
Cambridge,5050,,,
DesMoines,1344,,,
Jeju,1663,,,
Nanjing,57,,,
IsleofMan,18715,,,
Rarotonga,47900,,,
Ufa,690,,,
Pelotas,2148,,,
JohorBahru,1487,,,
Shymkent,648,,,
QuebecCity,1015,,,
Leipzig,1219,,,
Gan,47901,,,
Siddharthanagar,47902,,,
Apia,14432,,,
Yanbu,2106,,,
Fukuoka,364,,,
Albuquerque,47903,,,
Caracas,371,,,
Sochi,1753,,,
Charleston,1054,,,
Tortola,47904,,,
Bremen,1305,,,
Guadalajara,110,,,
Paramaribo,2984,,,
Gda?sk,1015,,,
PortSudan,1286,,,
Okinawa Island,4479,,,
Birmingham,962,,,
Oakland,1655,,,
Panglao,13752,,,
Koror,45555,,,
St.John's,3518,,,
hamilton,47346,,,
Suva,3513,,,
Cotonou,1101,,,
Pisa,6814,,,
Batumi,3819,,,
Omsk,656,,,
Seville,695,,,
SuratThani,4812,,,
Alexandria,136,,,
Stavanger,2823,,,
Hamilton,47346,,,
Fresno,1028,,,
Taif,1285,,,
Basel,3721,,,
Sharm El-Sheikh,33131,,,
Dandong,380,,,
CiudaddelEste,2247,,,
Khartoum,66,,,
Denizli,751,,,
Bastia,11544,,,
HaiPhong,396,,,
